tipus de centre,Universitat responsable,Branca,Estudi,Codi estudi,Unitat responsable,Codi unitat,"Curs
 acadèmic",Sexe,NOU INGRÉS,MATRICULATS,TITULATS,ZACH & ANNA INTERESTED DATASET
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,GESTIÓ ESPORTIVA,DGU000000733,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,HOME,0,16,12,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,ANÀLISI ECONÒMICA ESPECIALITZADA,DGU000000756,BARCELONA GRADUATE SCHOOL OF ECONOMICS,39080710711,10-11,DONA,35,35,34,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,ANÀLISI ECONÒMICA ESPECIALITZADA,DGU000000756,BARCELONA GRADUATE SCHOOL OF ECONOMICS,39080710711,10-11,HOME,53,53,52,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,ECONOMIA I FINANCES,DGU000000872,BARCELONA GRADUATE SCHOOL OF ECONOMICS,39080710711,10-11,DONA,21,21,21,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,ECONOMIA I FINANCES,DGU000000872,BARCELONA GRADUATE SCHOOL OF ECONOMICS,39080710711,10-11,HOME,52,52,50,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,DISSENY I COMUNICACIÓ,DGU000000628,ESCOLA TÈCNICA SUPERIOR DE DISSENY ELISAVA,39080702101,10-11,DONA,15,15,15,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,DISSENY I COMUNICACIÓ,DGU000000628,ESCOLA TÈCNICA SUPERIOR DE DISSENY ELISAVA,39080702101,10-11,HOME,4,4,3,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,RELACIONS INTERNACIONALS,DGU000000867,INSTITUT BARCELONA D'ESTUDIS INTERNACIONALS (IBEI),39080710071,10-11,DONA,58,58,45,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències socials i jurídiques,RELACIONS INTERNACIONALS,DGU000000867,INSTITUT BARCELONA D'ESTUDIS INTERNACIONALS (IBEI),39080710071,10-11,HOME,24,24,18,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DRET ESPORTIU,DGU000000363,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,11-12,DONA,13,16,2,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DRET ESPORTIU,DGU000000363,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,11-12,HOME,30,39,2,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,11-12,DONA,51,53,33,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,11-12,HOME,26,26,14,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,11-12,DONA,40,43,30,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,11-12,HOME,24,26,19,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,PREVENCIÓ I GESTIÓ DE RISCOS A LA COMUNITAT,DGU000000513,ESCOLA DE PREVENCIÓ I SEGURETAT INTEGRAL,22080711351,11-12,DONA,7,8,7,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,PREVENCIÓ I GESTIÓ DE RISCOS A LA COMUNITAT,DGU000000513,ESCOLA DE PREVENCIÓ I SEGURETAT INTEGRAL,22080711351,11-12,HOME,6,6,6,#N/A
